date,sku,category,units_sold,unit_cost,is_promo_day,is_stockout_day
2022-01-01,CSD-COLA-500ML,Carbonated Soft Drinks,344,0.85,False,False
2022-01-02,CSD-COLA-500ML,Carbonated Soft Drinks,254,0.85,False,False
2022-01-03,CSD-COLA-500ML,Carbonated Soft Drinks,237,0.85,False,False
2022-01-04,CSD-COLA-500ML,Carbonated Soft Drinks,213,0.85,False,False
2022-01-05,CSD-COLA-500ML,Carbonated Soft Drinks,285,0.85,False,False
2022-01-06,CSD-COLA-500ML,Carbonated Soft Drinks,302,0.85,False,False
2022-01-07,CSD-COLA-500ML,Carbonated Soft Drinks,329,0.85,False,False
2022-01-08,CSD-COLA-500ML,Carbonated Soft Drinks,276,0.85,False,False
2022-01-09,CSD-COLA-500ML,Carbonated Soft Drinks,233,0.85,False,False
2022-01-10,CSD-COLA-500ML,Carbonated Soft Drinks,250,0.85,False,False
2022-01-11,CSD-COLA-500ML,Carbonated Soft Drinks,249,0.85,False,False
2022-01-12,CSD-COLA-500ML,Carbonated Soft Drinks,226,0.85,False,False
2022-01-13,CSD-COLA-500ML,Carbonated Soft Drinks,288,0.85,False,False
2022-01-14,CSD-COLA-500ML,Carbonated Soft Drinks,347,0.85,False,False
2022-01-15,CSD-COLA-500ML,Carbonated Soft Drinks,315,0.85,False,False
2022-01-16,CSD-COLA-500ML,Carbonated Soft Drinks,174,0.85,False,False
2022-01-17,CSD-COLA-500ML,Carbonated Soft Drinks,248,0.85,False,False
2022-01-18,CSD-COLA-500ML,Carbonated Soft Drinks,243,0.85,False,False
2022-01-19,CSD-COLA-500ML,Carbonated Soft Drinks,230,0.85,False,False
2022-01-20,CSD-COLA-500ML,Carbonated Soft Drinks,301,0.85,False,False
2022-01-21,CSD-COLA-500ML,Carbonated Soft Drinks,311,0.85,False,False
2022-01-22,CSD-COLA-500ML,Carbonated Soft Drinks,343,0.85,False,False
2022-01-23,CSD-COLA-500ML,Carbonated Soft Drinks,237,0.85,False,False
2022-01-24,CSD-COLA-500ML,Carbonated Soft Drinks,220,0.85,False,False
2022-01-25,CSD-COLA-500ML,Carbonated Soft Drinks,262,0.85,False,False
2022-01-26,CSD-COLA-500ML,Carbonated Soft Drinks,299,0.85,False,False
2022-01-27,CSD-COLA-500ML,Carbonated Soft Drinks,275,0.85,False,False
2022-01-28,CSD-COLA-500ML,Carbonated Soft Drinks,341,0.85,False,False
2022-01-29,CSD-COLA-500ML,Carbonated Soft Drinks,353,0.85,False,False
2022-01-30,CSD-COLA-500ML,Carbonated Soft Drinks,245,0.85,False,False
2022-01-31,CSD-COLA-500ML,Carbonated Soft Drinks,245,0.85,False,False
2022-02-01,CSD-COLA-500ML,Carbonated Soft Drinks,268,0.85,False,False
2022-02-02,CSD-COLA-500ML,Carbonated Soft Drinks,230,0.85,False,False
2022-02-03,CSD-COLA-500ML,Carbonated Soft Drinks,328,0.85,False,False
2022-02-04,CSD-COLA-500ML,Carbonated Soft Drinks,411,0.85,False,False
2022-02-05,CSD-COLA-500ML,Carbonated Soft Drinks,325,0.85,False,False
2022-02-06,CSD-COLA-500ML,Carbonated Soft Drinks,247,0.85,False,False
2022-02-07,CSD-COLA-500ML,Carbonated Soft Drinks,277,0.85,False,False
2022-02-08,CSD-COLA-500ML,Carbonated Soft Drinks,290,0.85,False,False
2022-02-09,CSD-COLA-500ML,Carbonated Soft Drinks,292,0.85,False,False
2022-02-10,CSD-COLA-500ML,Carbonated Soft Drinks,349,0.85,False,False
2022-02-11,CSD-COLA-500ML,Carbonated Soft Drinks,405,0.85,False,False
2022-02-12,CSD-COLA-500ML,Carbonated Soft Drinks,358,0.85,False,False
2022-02-13,CSD-COLA-500ML,Carbonated Soft Drinks,286,0.85,False,False
2022-02-14,CSD-COLA-500ML,Carbonated Soft Drinks,324,0.85,False,False
2022-02-15,CSD-COLA-500ML,Carbonated Soft Drinks,255,0.85,False,False
2022-02-16,CSD-COLA-500ML,Carbonated Soft Drinks,306,0.85,False,False
2022-02-17,CSD-COLA-500ML,Carbonated Soft Drinks,307,0.85,False,False
2022-02-18,CSD-COLA-500ML,Carbonated Soft Drinks,343,0.85,False,False
2022-02-19,CSD-COLA-500ML,Carbonated Soft Drinks,348,0.85,False,False
2022-02-20,CSD-COLA-500ML,Carbonated Soft Drinks,235,0.85,False,False
2022-02-21,CSD-COLA-500ML,Carbonated Soft Drinks,268,0.85,False,False
2022-02-22,CSD-COLA-500ML,Carbonated Soft Drinks,239,0.85,False,False
