InvoiceNo,CustomerID,InvoiceDate,StockCode,Description,Quantity,UnitPrice,Country,Archetype
500001,10001,2023-01-04,SKU-1008,Water Bottle,4,14.0,Spain,Champion
500001,10001,2023-01-04,SKU-1007,Wireless Mouse,3,21.5,Spain,Champion
500002,10001,2023-02-09,SKU-1003,Notebook Set,6,12.5,Spain,Champion
500002,10001,2023-02-09,SKU-1009,Photo Frame,7,10.0,Spain,Champion
500003,10001,2023-03-26,SKU-1002,Tote Bag,11,9.0,Spain,Champion
500004,10001,2023-04-04,SKU-1002,Tote Bag,5,9.0,Spain,Champion
500005,10001,2023-06-10,SKU-1009,Photo Frame,4,10.0,Spain,Champion
500005,10001,2023-06-10,SKU-1010,Cushion Cover,3,15.5,Spain,Champion
500006,10001,2023-07-01,SKU-1006,Candle Trio,3,18.0,Spain,Champion
500006,10001,2023-07-01,SKU-1003,Notebook Set,4,12.5,Spain,Champion
500007,10001,2023-07-18,SKU-1010,Cushion Cover,2,15.5,Spain,Champion
500007,10001,2023-07-18,SKU-1001,Ceramic Mug,5,6.5,Spain,Champion
500008,10001,2023-07-22,SKU-1007,Wireless Mouse,1,21.5,Spain,Champion
500008,10001,2023-07-22,SKU-1009,Photo Frame,2,10.0,Spain,Champion
500008,10001,2023-07-22,SKU-1003,Notebook Set,2,12.5,Spain,Champion
500009,10001,2023-08-02,SKU-1001,Ceramic Mug,6,6.5,Spain,Champion
500009,10001,2023-08-02,SKU-1007,Wireless Mouse,2,21.5,Spain,Champion
500010,10001,2023-08-04,SKU-1006,Candle Trio,1,18.0,Spain,Champion
500010,10001,2023-08-04,SKU-1003,Notebook Set,1,12.5,Spain,Champion
500010,10001,2023-08-04,SKU-1010,Cushion Cover,1,15.5,Spain,Champion
500011,10001,2023-09-01,SKU-1010,Cushion Cover,2,15.5,Spain,Champion
500011,10001,2023-09-01,SKU-1009,Photo Frame,3,10.0,Spain,Champion
500011,10001,2023-09-01,SKU-1008,Water Bottle,2,14.0,Spain,Champion
500012,10001,2023-11-13,SKU-1005,Throw Blanket,2,32.0,Spain,Champion
500012,10001,2023-11-13,SKU-1001,Ceramic Mug,9,6.5,Spain,Champion
500013,10001,2023-11-30,SKU-1006,Candle Trio,2,18.0,Spain,Champion
500013,10001,2023-11-30,SKU-1007,Wireless Mouse,1,21.5,Spain,Champion
500013,10001,2023-11-30,SKU-1009,Photo Frame,3,10.0,Spain,Champion
500014,10001,2023-12-07,SKU-1006,Candle Trio,2,18.0,Spain,Champion
500014,10001,2023-12-07,SKU-1002,Tote Bag,4,9.0,Spain,Champion
500015,10001,2023-12-22,SKU-1006,Candle Trio,4,18.0,Spain,Champion
500016,10001,2023-12-26,SKU-1004,Desk Lamp,2,24.0,Spain,Champion
500017,10001,2024-02-16,SKU-1006,Candle Trio,1,18.0,Spain,Champion
500017,10001,2024-02-16,SKU-1010,Cushion Cover,2,15.5,Spain,Champion
500017,10001,2024-02-16,SKU-1004,Desk Lamp,1,24.0,Spain,Champion
500018,10001,2024-02-19,SKU-1005,Throw Blanket,2,32.0,Spain,Champion
500018,10001,2024-02-19,SKU-1007,Wireless Mouse,2,21.5,Spain,Champion
500019,10001,2024-05-02,SKU-1002,Tote Bag,4,9.0,Spain,Champion
500019,10001,2024-05-02,SKU-1006,Candle Trio,2,18.0,Spain,Champion
500019,10001,2024-05-02,SKU-1005,Throw Blanket,1,32.0,Spain,Champion
500020,10001,2024-05-27,SKU-1005,Throw Blanket,2,32.0,Spain,Champion
500021,10001,2024-07-06,SKU-1010,Cushion Cover,2,15.5,Spain,Champion
500021,10001,2024-07-06,SKU-1010,Cushion Cover,2,15.5,Spain,Champion
500022,10001,2024-07-21,SKU-1001,Ceramic Mug,16,6.5,Spain,Champion
500023,10001,2024-08-04,SKU-1001,Ceramic Mug,20,6.5,Spain,Champion
500024,10001,2024-08-07,SKU-1009,Photo Frame,3,10.0,Spain,Champion
500024,10001,2024-08-07,SKU-1009,Photo Frame,3,10.0,Spain,Champion
500025,10001,2024-08-16,SKU-1010,Cushion Cover,4,15.5,Spain,Champion
500025,10001,2024-08-16,SKU-1010,Cushion Cover,4,15.5,Spain,Champion
500026,10001,2024-09-13,SKU-1006,Candle Trio,2,18.0,Spain,Champion
500026,10001,2024-09-13,SKU-1002,Tote Bag,3,9.0,Spain,Champion
500027,10001,2024-09-30,SKU-1006,Candle Trio,7,18.0,Spain,Champion
500028,10001,2024-10-11,SKU-1009,Photo Frame,3,10.0,Spain,Champion
500028,10001,2024-10-11,SKU-1010,Cushion Cover,2,15.5,Spain,Champion
500029,10001,2024-12-06,SKU-1001,Ceramic Mug,7,6.5,Spain,Champion
500029,10001,2024-12-06,SKU-1004,Desk Lamp,2,24.0,Spain,Champion
500030,10001,2024-12-13,SKU-1003,Notebook Set,6,12.5,Spain,Champion
500031,10002,2023-01-19,SKU-1001,Ceramic Mug,6,6.5,Netherlands,Champion
500031,10002,2023-01-19,SKU-1006,Candle Trio,2,18.0,Netherlands,Champion
500032,10002,2023-01-23,SKU-1004,Desk Lamp,2,24.0,Netherlands,Champion
500032,10002,2023-01-23,SKU-1010,Cushion Cover,2,15.5,Netherlands,Champion
500032,10002,2023-01-23,SKU-1006,Candle Trio,2,18.0,Netherlands,Champion
500033,10002,2023-02-10,SKU-1010,Cushion Cover,3,15.5,Netherlands,Champion
500033,10002,2023-02-10,SKU-1010,Cushion Cover,3,15.5,Netherlands,Champion
500033,10002,2023-02-10,SKU-1002,Tote Bag,4,9.0,Netherlands,Champion
500034,10002,2023-02-27,SKU-1001,Ceramic Mug,21,6.5,Netherlands,Champion
500035,10002,2023-03-21,SKU-1009,Photo Frame,4,10.0,Netherlands,Champion
500035,10002,2023-03-21,SKU-1007,Wireless Mouse,2,21.5,Netherlands,Champion
500035,10002,2023-03-21,SKU-1002,Tote Bag,4,9.0,Netherlands,Champion
500036,10002,2023-03-31,SKU-1009,Photo Frame,3,10.0,Netherlands,Champion
500036,10002,2023-03-31,SKU-1010,Cushion Cover,2,15.5,Netherlands,Champion
500036,10002,2023-03-31,SKU-1001,Ceramic Mug,4,6.5,Netherlands,Champion
500037,10002,2023-08-23,SKU-1008,Water Bottle,4,14.0,Netherlands,Champion
500037,10002,2023-08-23,SKU-1010,Cushion Cover,3,15.5,Netherlands,Champion
500038,10002,2023-09-29,SKU-1003,Notebook Set,5,12.5,Netherlands,Champion
500038,10002,2023-09-29,SKU-1003,Notebook Set,5,12.5,Netherlands,Champion
500039,10002,2023-10-31,SKU-1004,Desk Lamp,1,24.0,Netherlands,Champion
500039,10002,2023-10-31,SKU-1002,Tote Bag,2,9.0,Netherlands,Champion
500039,10002,2023-10-31,SKU-1002,Tote Bag,2,9.0,Netherlands,Champion
500040,10002,2023-11-09,SKU-1010,Cushion Cover,5,15.5,Netherlands,Champion
500041,10002,2023-11-22,SKU-1004,Desk Lamp,1,24.0,Netherlands,Champion
500041,10002,2023-11-22,SKU-1002,Tote Bag,4,9.0,Netherlands,Champion
500041,10002,2023-11-22,SKU-1003,Notebook Set,3,12.5,Netherlands,Champion
500042,10002,2023-12-07,SKU-1005,Throw Blanket,4,32.0,Netherlands,Champion
500043,10002,2023-12-14,SKU-1006,Candle Trio,8,18.0,Netherlands,Champion
500044,10002,2024-02-04,SKU-1009,Photo Frame,3,10.0,Netherlands,Champion
500044,10002,2024-02-04,SKU-1008,Water Bottle,2,14.0,Netherlands,Champion
